City Name,Solar
Boise,2.96
Twin  Falls,0.7307
Idaho Falls,0.96
Rexburg,0.055
Couer d'Alene,0.5454
Hailey,0.7777
"Sun Valley, ID",7.25
Nampa,3.4
Meridian,1.25
Lewiston,5.667
